스테이지,ID,이름,드랍하지 않음,생명석 1개,생명석 2개,생명석 3개,생명석 4개,생명석 5개,금 포션,자수정 포션,습작 아이템,범작,수작,걸작 아이템,습작 애드온,범작,수작,걸작 애드온
고대유적,,,,,,,,,,,,,,,,,,
고대유적,42,전갈,7,4,1,0,0,0,0,0,2,0,0,0,2,1,0,0
고대유적,101,고블린,7,4,1,0,0,0,0,0,2,0,0,0,2,1,0,0
고대유적,102,고블린 보초병,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
고대유적,103,날쌘 고블린,3,5,1,0,0,0,0,0,2,0,0,0,2,1,0,0
고대유적,1050,나태한 고블린,3,5,1,0,0,0,0,0,1,0,0,0,1,3,0,0
고대유적,104,고블린 챔피언,1,8,4,2,0,0,3,0,2,4,2,0,2,1,0,0
고대유적,1060,밤의 사제,0,2,1,0,0,0,3,0,2,6,3,0,1,5,2,0
고대유적,1070,고물 보블린,0,3,0,0,0,0,3,0,1,7,5,1,2,6,4,1
고대유적,111,거대 거미,2,4,3,1,0,0,0,0,2,1,0,0,2,2,0,0
고대유적,112,독 거미,3,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0
고대유적,121,도둑 까마귀,0,3,1,0,0,0,4,0,5,2,1,0,7,4,1,0
고대유적,113,야생 늑대,1,2,4,1,0,0,0,0,1,3,1,0,2,3,1,0
고대유적,1140,고블린 라이더,1,3,5,1,0,0,3,0,3,4,1,0,3,3,1,0
고대유적,122,흡혈 박쥐,3,3,1,0,0,0,0,0,2,1,0,0,3,1,0,0
고대유적,1230,새끼 박쥐,5,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0
고대유적,115,엘리게이터-1,1,4,6,3,1,0,2,0,5,5,3,1,3,1,1,0
고대유적,116,엘리게이터-2,1,4,6,3,1,0,2,0,5,5,3,1,3,1,1,0
고대유적,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
라거 섬,,,,,,,,,,,,,,,,,,
도시,,,,,,,,,,,,,,,,,,
도시,,고위 마법사,,,,,,,,,,,,,,,,
도시,,황실 기사,,,,,,,,,,,,,,,,
도시,,학자,,,,,,,,,,,,,,,,
도시,,보초병,,,,,,,,,,,,,,,,
도시,,일반 마법사,,,,,,,,,,,,,,,,
도시,,폰,,,,,,,,,,,,,,,,
도시,,나이트,,,,,,,,,,,,,,,,
도시,,비숍,,,,,,,,,,,,,,,,
도시,,룩,,,,,,,,,,,,,,,,
도시,,심복,,,,,,,,,,,,,,,,
도시,,성직자,,,,,,,,,,,,,,,,
도시,,고위 성직자,,,,,,,,,,,,,,,,
도시,,정예 기사,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,용암 융합체,,,,,,,,,,,,,,,,
폐허,,백골 야수,,,,,,,,,,,,,,,,
폐허,,백골 마법사,,,,,,,,,,,,,,,,
폐허,,언데드 학자,,,,,,,,,,,,,,,,
폐허,,언데드 성직자,,,,,,,,,,,,,,,,
폐허,,묘비왕자,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
폐허,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,
공통,,,,,,,,,,,,,,,,,,